date,month,day_of_week,sessions,paid_sessions,organic_sessions,cvr,orders,aov,new_customers,new_revenue,return_revenue,total_revenue,target_revenue,spend,cac,roas
2026-01-01,1,Thursday,9563,7860,1703,2.0906,199,81.94,141,11630.94,4675.2,16306.14,45161.29,41154.26,291.87,0.4
2026-01-02,1,Friday,11654,9782,1872,2.0183,235,84.1,169,14275.25,5488.56,19763.81,45161.29,47357.13,280.22,0.42
2026-01-03,1,Saturday,6662,5590,1072,1.9642,130,94.37,90,8553.55,3714.21,12267.76,45161.29,25714.14,285.71,0.48
2026-01-04,1,Sunday,7241,6045,1196,1.8838,136,96.85,93,9083.05,4089.17,13172.22,45161.29,23851.05,256.46,0.55
2026-01-05,1,Monday,10541,8616,1925,2.1283,224,80.08,160,12883.82,5054.35,17938.17,45161.29,45823.43,286.4,0.39
2026-01-06,1,Tuesday,10706,8921,1785,2.4164,258,86.33,174,15048.93,7223.44,22272.37,45161.29,49205.18,282.79,0.45
2026-01-07,1,Wednesday,11157,9170,1987,2.3651,263,90.97,182,16615.74,7310.22,23925.96,45161.29,45269.03,248.73,0.53
2026-01-08,1,Thursday,8867,7470,1397,2.213,196,80.37,139,11197.21,4555.41,15752.62,45161.29,36717.13,264.15,0.43
2026-01-09,1,Friday,11403,9540,1863,2.1409,244,84.54,173,14679.49,5947.76,20627.25,45161.29,53302.31,308.11,0.39
2026-01-10,1,Saturday,8512,7150,1362,2.136,181,88.5,124,10992.35,5026.75,16019.1,45161.29,33563.81,270.68,0.48
2026-01-11,1,Sunday,7967,6505,1462,2.149,171,94.45,117,11113.05,5038.47,16151.52,45161.29,34755.37,297.05,0.46
2026-01-12,1,Monday,8916,7472,1444,1.9946,177,84.27,125,10560.14,4355.92,14916.06,45161.29,38507.48,308.06,0.39
2026-01-13,1,Tuesday,11405,9280,2125,2.225,253,89.17,177,15824.85,6734.71,22559.56,45161.29,48776.14,275.57,0.46
2026-01-14,1,Wednesday,9849,8124,1725,2.1936,216,88.03,152,13455.26,5559.11,19014.37,45161.29,46320.47,304.74,0.41
2026-01-15,1,Thursday,9755,8211,1544,2.181,212,94.3,147,13900.31,6090.46,19990.77,45161.29,36429.43,247.82,0.55
2026-01-16,1,Friday,10059,8474,1585,2.2568,227,91.6,158,14540.93,6252.85,20793.78,45161.29,42660.71,270.0,0.49
2026-01-17,1,Saturday,9717,8202,1515,2.1029,204,101.84,138,14076.84,6697.55,20774.39,45161.29,40361.39,292.47,0.51
2026-01-18,1,Sunday,7586,6376,1210,2.1062,159,91.34,109,9992.34,4531.02,14523.36,45161.29,29786.81,273.27,0.49
2026-01-19,1,Monday,9890,8178,1712,2.4006,237,93.32,167,15617.69,6498.61,22116.3,45161.29,42765.32,256.08,0.52
2026-01-20,1,Tuesday,11874,9772,2102,2.4822,294,85.35,202,17251.71,7841.55,25093.26,45161.29,51354.95,254.23,0.49
2026-01-21,1,Wednesday,11759,9923,1836,2.3292,273,92.31,189,17451.09,7748.53,25199.62,45161.29,50179.77,265.5,0.5
2026-01-22,1,Thursday,8834,7359,1475,2.5094,221,93.9,149,14058.84,6693.88,20752.72,45161.29,36902.01,247.66,0.56
2026-01-23,1,Friday,12988,10925,2063,2.3978,311,82.83,215,17879.71,7880.32,25760.03,45161.29,63261.56,294.24,0.41
2026-01-24,1,Saturday,9328,7781,1547,1.9357,180,95.61,124,11886.56,5324.02,17210.58,45161.29,37388.44,301.52,0.46
2026-01-25,1,Sunday,7160,5988,1172,1.9706,141,96.79,96,9300.23,4346.5,13646.73,45161.29,25357.36,264.14,0.54
2026-01-26,1,Monday,11706,9820,1886,2.2672,265,88.35,183,16192.26,7219.3,23411.56,45161.29,47256.26,258.23,0.5
2026-01-27,1,Tuesday,10190,8565,1625,2.3522,239,85.54,168,14433.43,6011.14,20444.57,45161.29,47889.34,285.06,0.43
2026-01-28,1,Wednesday,10126,8450,1676,2.4988,253,94.73,180,17089.73,6877.19,23966.92,45161.29,51735.96,287.42,0.46
2026-01-29,1,Thursday,9519,7864,1655,2.1415,203,96.0,139,13410.25,6078.71,19488.96,45161.29,40996.47,294.94,0.48
2026-01-30,1,Friday,12819,10610,2209,2.0651,264,84.13,183,15428.86,6780.35,22209.21,45161.29,50097.38,273.76,0.44
2026-01-31,1,Saturday,9266,7675,1591,2.1639,200,104.85,142,14906.06,6063.16,20969.22,45161.29,37653.16,265.16,0.56
2026-02-01,2,Sunday,8119,6718,1401,1.9863,161,92.48,111,10322.42,4567.63,14890.05,53571.43,28971.99,261.01,0.51
2026-02-02,2,Monday,9398,7732,1666,2.3879,224,89.45,150,13475.32,6562.32,20037.64,53571.43,36870.41,245.8,0.54
2026-02-03,2,Tuesday,12249,9947,2302,2.4671,302,97.24,202,19644.58,9721.31,29365.89,53571.43,51171.87,253.33,0.57
2026-02-04,2,Wednesday,10892,9023,1869,2.1794,237,89.19,168,15044.33,6094.08,21138.41,53571.43,51626.12,307.3,0.41
2026-02-05,2,Thursday,9584,7743,1841,2.4431,234,90.15,162,14625.61,6469.27,21094.88,53571.43,49865.19,307.81,0.42
2026-02-06,2,Friday,11793,9521,2272,2.2979,270,85.95,188,16229.33,6978.32,23207.65,53571.43,52674.81,280.19,0.44
