date,month,running_actual_revenue,running_target_revenue,running_new_revenue,running_spend,delta_running_revenue,running_orders,running_new_customers,pct_of_monthly_target
2026-01-01,1,16306.14,45161.29,11630.94,41154.26,-28855.15,199,141,1.16
2026-01-02,1,36069.95,90322.58,25906.19,88511.39,-54252.63,434,310,2.58
2026-01-03,1,48337.71,135483.87,34459.74,114225.53,-87146.16,564,400,3.45
2026-01-04,1,61509.93,180645.16,43542.79,138076.58,-119135.23,700,493,4.39
2026-01-05,1,79448.1,225806.45,56426.61,183900.01,-146358.35,924,653,5.67
2026-01-06,1,101720.47,270967.74,71475.54,233105.19,-169247.27,1182,827,7.27
2026-01-07,1,125646.43,316129.03,88091.28,278374.22,-190482.6,1445,1009,8.97
2026-01-08,1,141399.05,361290.32,99288.49,315091.35,-219891.27,1641,1148,10.1
2026-01-09,1,162026.3,406451.61,113967.98,368393.66,-244425.31,1885,1321,11.57
2026-01-10,1,178045.4,451612.9,124960.33,401957.47,-273567.5,2066,1445,12.72
2026-01-11,1,194196.92,496774.19,136073.38,436712.84,-302577.27,2237,1562,13.87
2026-01-12,1,209112.98,541935.48,146633.52,475220.32,-332822.5,2414,1687,14.94
2026-01-13,1,231672.54,587096.77,162458.37,523996.46,-355424.23,2667,1864,16.55
2026-01-14,1,250686.91,632258.06,175913.63,570316.93,-381571.15,2883,2016,17.91
2026-01-15,1,270677.68,677419.35,189813.94,606746.36,-406741.67,3095,2163,19.33
2026-01-16,1,291471.46,722580.64,204354.87,649407.07,-431109.18,3322,2321,20.82
2026-01-17,1,312245.85,767741.93,218431.71,689768.46,-455496.08,3526,2459,22.3
2026-01-18,1,326769.21,812903.22,228424.05,719555.27,-486134.01,3685,2568,23.34
2026-01-19,1,348885.51,858064.51,244041.74,762320.59,-509179.0,3922,2735,24.92
2026-01-20,1,373978.77,903225.8,261293.45,813675.54,-529247.03,4216,2937,26.71
2026-01-21,1,399178.39,948387.09,278744.54,863855.31,-549208.7,4489,3126,28.51
2026-01-22,1,419931.11,993548.38,292803.38,900757.32,-573617.27,4710,3275,30.0
2026-01-23,1,445691.14,1038709.67,310683.09,964018.88,-593018.53,5021,3490,31.84
2026-01-24,1,462901.72,1083870.96,322569.65,1001407.32,-620969.24,5201,3614,33.06
2026-01-25,1,476548.45,1129032.25,331869.88,1026764.68,-652483.8,5342,3710,34.04
2026-01-26,1,499960.01,1174193.54,348062.14,1074020.94,-674233.53,5607,3893,35.71
2026-01-27,1,520404.58,1219354.83,362495.57,1121910.28,-698950.25,5846,4061,37.17
2026-01-28,1,544371.5,1264516.12,379585.3,1173646.24,-720144.62,6099,4241,38.88
2026-01-29,1,563860.46,1309677.41,392995.55,1214642.71,-745816.95,6302,4380,40.28
2026-01-30,1,586069.67,1354838.7,408424.41,1264740.09,-768769.03,6566,4563,41.86
2026-01-31,1,607038.89,1399999.99,423330.47,1302393.25,-792961.1,6766,4705,43.36
2026-02-01,2,14890.05,53571.43,10322.42,28971.99,-38681.38,161,111,0.99
2026-02-02,2,34927.69,107142.86,23797.74,65842.4,-72215.17,385,261,2.33
2026-02-03,2,64293.58,160714.29,43442.32,117014.27,-96420.71,687,463,4.29
